concatenated_source,source_publisher,source_product,source_full_version,source_availability,source_end_of_support
Micro Focus - AAI - 1.4,Micro Focus,AAI,1.4,,2010-11-01
Micro Focus - AAI - 1.5,Micro Focus,AAI,1.5,,2010-11-01
Micro Focus - AAI - 1.6,Micro Focus,AAI,1.6,,2010-11-01
Micro Focus - AAI - 1.7,Micro Focus,AAI,1.7,,2010-11-01
Micro Focus - AAI - 2.0,Micro Focus,AAI,2.0,,2010-11-01
Micro Focus - AAI - 2.0,Micro Focus,AAI,2.0,,2010-11-01
Micro Focus - AAI - 2.0,Micro Focus,AAI,2.0,,2010-11-01
Micro Focus - AAI - 2.0,Micro Focus,AAI,2.0,,2010-11-01
Micro Focus - AAI - 2.0,Micro Focus,AAI,2.0,,2010-11-01
Micro Focus - AAI - 2.0,Micro Focus,AAI,2.0,,2010-11-01
Micro Focus - AAI - 2.0,Micro Focus,AAI,2.0,,2010-11-01
Micro Focus - AAI - 2.0,Micro Focus,AAI,2.0,,2010-11-01
Micro Focus - AAI - 2.1,Micro Focus,AAI,2.1,,2010-11-01
Micro Focus - AAI - 2.1,Micro Focus,AAI,2.1,,2010-11-01
Micro Focus - AAI - 2.1,Micro Focus,AAI,2.1,,2010-11-01
Micro Focus - AAI - 2.2,Micro Focus,AAI,2.2,,2010-11-01
Micro Focus - AAI - 2.2,Micro Focus,AAI,2.2,,2010-11-01
Micro Focus - AAI - 2.2,Micro Focus,AAI,2.2,,2010-11-01
Micro Focus - AAI - 2.2,Micro Focus,AAI,2.2,,2010-11-01
Micro Focus - AAI - 2.2,Micro Focus,AAI,2.2,,2010-11-01
Micro Focus - AAI - 2.2,Micro Focus,AAI,2.2,,2010-11-01
Micro Focus - AAI - 2.3,Micro Focus,AAI,2.3,,2010-11-01
Micro Focus - AAI - 2.3,Micro Focus,AAI,2.3,,2010-11-01
Micro Focus - AAI - 4.0,Micro Focus,AAI,4.0,,2010-11-01
Micro Focus - AAI - 5.0,Micro Focus,AAI,5.0,,2010-11-01
Micro Focus - AccessGovernance - 7.1,Micro Focus,AccessGovernance,7.1,2017-04-27,2020-05-01
Micro Focus - AccessGovernance - 7.0,Micro Focus,AccessGovernance,7.0,2016-03-14,
Micro Focus - AccessManager - 4.5.4,Micro Focus,AccessManager,4.5.4,2021-06-10,2022-06-30
Micro Focus - AccessManager - 4.5.3,Micro Focus,AccessManager,4.5.3,2020-08-11,2021-12-31
Micro Focus - AccessManager - 4.5,Micro Focus,AccessManager,4.5,2019-04-09,2021-12-31
Micro Focus - AccessManager - 4.4,Micro Focus,AccessManager,4.4,2017-09-04,2020-07-31
Micro Focus - AccessManager - 4.3,Micro Focus,AccessManager,4.3,2016-10-17,2018-09-30
Micro Focus - AccessManager - 4.2,Micro Focus,AccessManager,4.2,2015-11-30,2017-11-30
Micro Focus - AccessManager - 4.1,Micro Focus,AccessManager,4.1,2015-03-31,2016-11-30
Micro Focus - AccessManager - 4.0,Micro Focus,AccessManager,4.0,2013-11-20,2016-05-31
Micro Focus - AccessManagerSP1 - 5.0,Micro Focus,AccessManagerSP1,5.0,2021-08-13,2022-08-31
Micro Focus - AccessManager - 5.0,Micro Focus,AccessManager,5.0,2021-03-24,2024-03-31
Micro Focus - AccuRev - 5.6,Micro Focus,AccuRev,5.6,,2016-04-30
Micro Focus - AccuRev - 5.7,Micro Focus,AccuRev,5.7,,2016-04-30
