concatenated_source,source_publisher,source_product,source_full_version,source_availability,source_end_of_support
Micro Focus - DataCenterAutomationSuite - 2021.08,Micro Focus,DataCenterAutomationSuite,2021.08,03/09/21,30/09/25
Micro Focus - DataCenterAutomationSuite - 2021.05,Micro Focus,DataCenterAutomationSuite,2021.05,06/07/21,31/07/25
Micro Focus - DataCenterAutomationSuite - 2020.11,Micro Focus,DataCenterAutomationSuite,2020.11,14/12/20,31/12/24
Micro Focus - DataCenterAutomationSuite - 2020.08,Micro Focus,DataCenterAutomationSuite,2020.08,04/09/20,30/09/24
Micro Focus - DataCenterAutomationSuite - 2019.11,Micro Focus,DataCenterAutomationSuite,2019.11,31/01/20,30/11/23
Micro Focus - DataCenterAutomationSuite - 2019.08,Micro Focus,DataCenterAutomationSuite,2019.08,30/08/19,30/09/23
Micro Focus - DataCenterAutomationSuite - 2019.05,Micro Focus,DataCenterAutomationSuite,2019.05,07/06/19,30/06/23
Micro Focus - DataCenterAutomationSuite - 2019.02,Micro Focus,DataCenterAutomationSuite,2019.02,06/03/19,31/03/23
Micro Focus - DataCenterAutomationSuite - 2018.11,Micro Focus,DataCenterAutomationSuite,2018.11,03/12/18,31/12/22
Micro Focus - DataCenterAutomationSuite - 2018.08,Micro Focus,DataCenterAutomationSuite,2018.08,27/08/18,30/09/22
Micro Focus - DataCenterAutomationSuite - 2018.05,Micro Focus,DataCenterAutomationSuite,2018.05,25/05/18,30/06/22
Micro Focus - DataCenterAutomationSuite - 2018.02,Micro Focus,DataCenterAutomationSuite,2018.02,09/03/18,31/03/22
Micro Focus - DataCenterAutomationSuite - 2017.11,Micro Focus,DataCenterAutomationSuite,2017.11,30/11/17,31/12/21
Micro Focus - DataCenterAutomationSuite - 2017.09,Micro Focus,DataCenterAutomationSuite,2017.09,09/10/17,31/10/21
Micro Focus - DataCenterAutomationSuite - 2017.08,Micro Focus,DataCenterAutomationSuite,2017.08,30/08/17,30/09/21
Micro Focus - DataCenterAutomationSuite - 2017.05,Micro Focus,DataCenterAutomationSuite,2017.05,30/05/17,30/06/21
