concatenated_source,source_publisher,source_product,source_full_version,source_availability,source_end_of_support
Micro Focus - ArcSightReputationSecurityMonitorPlus - 1.7,Micro Focus,ArcSightReputationSecurityMonitorPlus,1.7,2020-12-03,2023-12-31
Micro Focus - ArcSightReputationSecurityMonitorPlus6x - 1.6,Micro Focus,ArcSightReputationSecurityMonitorPlus6x,1.6,2017-10-11,2021-06-30
Micro Focus - ArcSightSmartConnectors - 7.15.0,Micro Focus,ArcSightSmartConnectors,7.15.0,2020-05-01,2023-05-31
Micro Focus - ArcSightSmartConnectors - 7.14.0,Micro Focus,ArcSightSmartConnectors,7.14.0,2019-12-17,2022-12-31
Micro Focus - ArcSightSmartConnectors - 7.13.0,Micro Focus,ArcSightSmartConnectors,7.13.0,2019-07-31,2022-07-31
Micro Focus - ArcSightSmartConnectors - 7.12.0,Micro Focus,ArcSightSmartConnectors,7.12.0,2019-05-31,2022-05-31
Micro Focus - ArcSightSmartConnectors - 7.11.0,Micro Focus,ArcSightSmartConnectors,7.11.0,2019-01-31,2022-01-31
Micro Focus - ArcSightSmartConnectors - 7.10.0,Micro Focus,ArcSightSmartConnectors,7.10.0,2018-10-31,2021-10-31
Micro Focus - ArcSightSmartConnectors9x - 7.9,Micro Focus,ArcSightSmartConnectors9x,7.9,2018-06-30,2021-06-30
Micro Focus - ArcSightSmartConnectors8x - 7.8,Micro Focus,ArcSightSmartConnectors8x,7.8,2018-04-30,2021-04-30
Micro Focus - ArcSightSmartConnectors7x - 7.7,Micro Focus,ArcSightSmartConnectors7x,7.7,2017-12-01,2020-12-31
Micro Focus - ArcSightSmartConnectors6x - 7.6,Micro Focus,ArcSightSmartConnectors6x,7.6,2017-06-01,2020-06-30
Micro Focus - ArcSightSmartConnectors0x - 7.0,Micro Focus,ArcSightSmartConnectors0x,7.0,2014-06-01,2017-06-30
Micro Focus - ArcSightSmartConnectors - 8.2.0,Micro Focus,ArcSightSmartConnectors,8.2.0,2021-05-18,2024-05-31
Micro Focus - ArcSightSmartConnectors - 8.1.0,Micro Focus,ArcSightSmartConnectors,8.1.0,2020-12-03,2023-12-31
Micro Focus - ArcSightSmartConnectors0x - 8.0,Micro Focus,ArcSightSmartConnectors0x,8.0,2020-07-31,2023-07-31
Micro Focus - ArcSightThreatDetector - 2.1,Micro Focus,ArcSightThreatDetector,2.1,2017-07-20,2020-07-31
Micro Focus - ArcSightThreatDetector0x - 2.0,Micro Focus,ArcSightThreatDetector0x,2.0,2013-07-01,2016-07-31
Micro Focus - ArcSightTransformationHub - 2.2,Micro Focus,ArcSightTransformationHub,2.2,2018-07-31,2021-07-31
Micro Focus - ArcSightTransformationHub - 2.2,Micro Focus,ArcSightTransformationHub,2.2,2018-04-30,2021-04-30
Micro Focus - ArcSightTransformationHub - 2.1,Micro Focus,ArcSightTransformationHub,2.1,2017-10-31,2019-10-31
Micro Focus - ArcSightTransformationHub - 3.5,Micro Focus,ArcSightTransformationHub,3.5,2021-05-14,2024-05-31
Micro Focus - ArcSightTransformationHub - 3.4,Micro Focus,ArcSightTransformationHub,3.4,2020-12-03,2023-12-31
Micro Focus - ArcSightTransformationHub - 3.3,Micro Focus,ArcSightTransformationHub,3.3,2020-07-31,2023-07-31
Micro Focus - ArcSightTransformationHub - 3.2,Micro Focus,ArcSightTransformationHub,3.2,2020-04-30,2023-04-30
Micro Focus - ArcSightTransformationHub1x - 3.1,Micro Focus,ArcSightTransformationHub1x,3.1,2019-12-04,2022-12-31
Micro Focus - ArcSightTransformationHub0x - 3.0,Micro Focus,ArcSightTransformationHub0x,3.0,2019-07-31,2022-07-31
Micro Focus - ArcSightUserBehaviorAnalytics - 6.2,Micro Focus,ArcSightUserBehaviorAnalytics,6.2,2020-02-28,2022-02-08
Micro Focus - ArcSightUserBehaviorAnalytics1x - 6.1,Micro Focus,ArcSightUserBehaviorAnalytics1x,6.1,2018-07-27,2022-02-08
Micro Focus - ArcSightUserBehaviorAnalytics0x - 5.0,Micro Focus,ArcSightUserBehaviorAnalytics0x,5.0,2016-07-15,2022-02-08
Micro Focus - ArcSightUserBehaviorAnalytics1x - 1.1,Micro Focus,ArcSightUserBehaviorAnalytics1x,1.1,2015-08-15,2018-11-30
Micro Focus - ArcSightUserBehaviorAnalytics0x - 1.0,Micro Focus,ArcSightUserBehaviorAnalytics0x,1.0,2015-06-12,2018-11-30
Micro Focus - Artix - 5.0,Micro Focus,Artix,5.0,,2009-09-30
Micro Focus - Artix - 5.1,Micro Focus,Artix,5.1,,2010-03-01
Micro Focus - Artix - 5.5,Micro Focus,Artix,5.5,,2012-12-09
Micro Focus - Artix - 5.6,Micro Focus,Artix,5.6,,
Micro Focus - AssetManager8x - 9.8,Micro Focus,AssetManager8x,9.8,2020-12-17,2024-12-31
Micro Focus - AssetManager7x - 9.7,Micro Focus,AssetManager7x,9.7,2018-02-09,2022-02-28
Micro Focus - AssetManager6x - 9.6,Micro Focus,AssetManager6x,9.6,2016-06-21,2021-07-31
Micro Focus - AssetManager5x - 9.5,Micro Focus,AssetManager5x,9.5,2015-04-01,2019-04-30
Micro Focus - AssetManager4x - 9.4,Micro Focus,AssetManager4x,9.4,2013-06-24,2017-06-30
Micro Focus - AssetManager3x - 9.3,Micro Focus,AssetManager3x,9.3,2011-09-01,2015-09-30
Micro Focus - Atlas - 2.4,Micro Focus,Atlas,2.4,2016-01-06,2017-11-01
Micro Focus - Atlas - 2.2,Micro Focus,Atlas,2.2,2015-10-12,2017-11-01
Micro Focus - Atlas - 2.1,Micro Focus,Atlas,2.1,2015-08-28,2017-11-01
Micro Focus - Atlas - 2.0,Micro Focus,Atlas,2.0,2015-08-11,2017-11-01
Micro Focus - Atlas - 2.3,Micro Focus,Atlas,2.3,2015-02-23,2017-11-01
Micro Focus - Atlas - 3.2,Micro Focus,Atlas,3.2,2016-06-10,2018-11-01
Micro Focus - Atlas - 3.1,Micro Focus,Atlas,3.1,2016-03-24,2018-11-01
Micro Focus - Atlas - 3.0,Micro Focus,Atlas,3.0,2016-02-23,2018-11-01
Micro Focus - Atlas - 4.3,Micro Focus,Atlas,4.3,2017-09-15,2020-12-31
Micro Focus - Atlas - 4.2,Micro Focus,Atlas,4.2,2017-05-19,2020-12-31
Micro Focus - Atlas - 4.1,Micro Focus,Atlas,4.1,2017-02-09,2019-11-25
Micro Focus - Atlas - 4.0,Micro Focus,Atlas,4.0,2016-11-25,2019-11-25
Micro Focus - Atlas - 5.0,Micro Focus,Atlas,5.0,2018-02-08,2020-12-31
Micro Focus - Atlas - 5.1,Micro Focus,Atlas,5.1,2012-07-06,2020-12-31
Micro Focus - BackupNavigator - 10.6,Micro Focus,BackupNavigator,10.6,2019-12-13,2022-12-31
Micro Focus - BackupNavigator5x - 10.5,Micro Focus,BackupNavigator5x,10.5,2019-08-23,2022-09-30
Micro Focus - BackupNavigator4x - 10.4,Micro Focus,BackupNavigator4x,10.4,2019-05-24,2022-06-30
Micro Focus - BackupNavigator3x - 10.3,Micro Focus,BackupNavigator3x,10.3,2019-03-04,2022-03-31
Micro Focus - BackupNavigator2x - 10.2,Micro Focus,BackupNavigator2x,10.2,2018-12-06,2021-12-31
Micro Focus - BackupNavigator1x - 10.1,Micro Focus,BackupNavigator1x,10.1,2018-09-17,2021-09-30
Micro Focus - BackupNavigator9x - 9.9,Micro Focus,BackupNavigator9x,9.9,2018-03-30,2021-04-30
Micro Focus - BackupNavigator8x - 9.8,Micro Focus,BackupNavigator8x,9.8,2017-12-08,2020-12-31
Micro Focus - BackupNavigator7x - 9.7,Micro Focus,BackupNavigator7x,9.7,2017-10-09,2020-10-31
Micro Focus - BackupNavigator6x - 9.6,Micro Focus,BackupNavigator6x,9.6,2017-06-30,2020-07-31
Micro Focus - BackupNavigator5x - 9.5,Micro Focus,BackupNavigator5x,9.5,2016-11-21,2019-11-30
Micro Focus - BackupNavigator4x - 9.4,Micro Focus,BackupNavigator4x,9.4,2016-06-30,2019-07-31
Micro Focus - BackupNavigator3x - 9.3,Micro Focus,BackupNavigator3x,9.3,2015-12-03,2018-12-31
Micro Focus - BackupNavigator2x - 9.2,Micro Focus,BackupNavigator2x,9.2,2015-07-15,2018-07-31
Micro Focus - BackupNavigator1x - 9.1,Micro Focus,BackupNavigator1x,9.1,2015-04-17,2018-04-30
Micro Focus - BackupNavigator0x - 9.0,Micro Focus,BackupNavigator0x,9.0,2014-12-19,2017-12-31
Micro Focus - BESAppServerEdition - 5.1,Micro Focus,BESAppServerEdition,5.1,,2010-01-31
Micro Focus - BESAppServerEdition - 5.2,Micro Focus,BESAppServerEdition,5.2,,2010-01-31
Micro Focus - BESAppServerEdition - 6.0,Micro Focus,BESAppServerEdition,6.0,,2010-01-31
Micro Focus - BESAppServerEdition - 6.5,Micro Focus,BESAppServerEdition,6.5,,2010-01-31
Micro Focus - BESVisiBrokerEdition - 5.1,Micro Focus,BESVisiBrokerEdition,5.1,,
Micro Focus - BESVisiBrokerEdition - 5.2,Micro Focus,BESVisiBrokerEdition,5.2,,
Micro Focus - Boomerang - 8.0,Micro Focus,Boomerang,8.0,,
Micro Focus - Boomerang - 8.0,Micro Focus,Boomerang,8.0,,
Micro Focus - Boomerang - 8.0,Micro Focus,Boomerang,8.0,,
Micro Focus - Boomerang - 8.0,Micro Focus,Boomerang,8.0,,
Micro Focus - BorlandApplicationServer - 6.6,Micro Focus,BorlandApplicationServer,6.6,,2012-01-31
Micro Focus - BorlandApplicationServer - 6.7,Micro Focus,BorlandApplicationServer,6.7,,2012-01-31
Micro Focus - BtrieveInterface - 10.4.0,Micro Focus,BtrieveInterface,10.4.0,2021-04-29,
Micro Focus - BtrieveInterface - 10.3,Micro Focus,BtrieveInterface,10.3,2020-06-30,2021-11-30
Micro Focus - BtrieveInterface - 10.3,Micro Focus,BtrieveInterface,10.3,2019-11-27,2021-04-30
Micro Focus - BtrieveInterface - 10.0,Micro Focus,BtrieveInterface,10.0,,
Micro Focus - BtrieveInterface - 10.0,Micro Focus,BtrieveInterface,10.0,,
Micro Focus - BtrieveInterface - 10.1,Micro Focus,BtrieveInterface,10.1,,
Micro Focus - BtrieveInterface - 10.1,Micro Focus,BtrieveInterface,10.1,,
Micro Focus - BtrieveInterface - 10.2,Micro Focus,BtrieveInterface,10.2,,
Micro Focus - BtrieveInterface - 10.2,Micro Focus,BtrieveInterface,10.2,,
Micro Focus - BtrieveInterface - 4.3,Micro Focus,BtrieveInterface,4.3,,2006-10-31
Micro Focus - BtrieveInterface - 5.0,Micro Focus,BtrieveInterface,5.0,,2006-10-31
Micro Focus - BtrieveInterface - 6.1,Micro Focus,BtrieveInterface,6.1,,2008-12-31
Micro Focus - BtrieveInterface - 7.0,Micro Focus,BtrieveInterface,7.0,,2010-12-31
Micro Focus - BtrieveInterface - 7.2,Micro Focus,BtrieveInterface,7.2,,2010-12-31
Micro Focus - BtrieveInterface - 8.0,Micro Focus,BtrieveInterface,8.0,,2017-02-28
Micro Focus - BtrieveInterface - 8.0,Micro Focus,BtrieveInterface,8.0,,2017-02-28
Micro Focus - BtrieveInterface - 9.0,Micro Focus,BtrieveInterface,9.0,,
Micro Focus - BtrieveInterface - 9.0,Micro Focus,BtrieveInterface,9.0,,
Micro Focus - BtrieveInterface - 9.1,Micro Focus,BtrieveInterface,9.1,,
Micro Focus - BtrieveInterface - 9.1,Micro Focus,BtrieveInterface,9.1,,
Micro Focus - BtrieveInterface - 9.1,Micro Focus,BtrieveInterface,9.1,,
Micro Focus - BtrieveInterface - 9.12.1,Micro Focus,BtrieveInterface,9.12.1,,
Micro Focus - BtrieveInterface - 9.2,Micro Focus,BtrieveInterface,9.2,,
Micro Focus - BtrieveInterface - 9.2,Micro Focus,BtrieveInterface,9.2,,
Micro Focus - BtrieveInterface - 9.2,Micro Focus,BtrieveInterface,9.2,,
Micro Focus - BtrieveInterface - 9.2,Micro Focus,BtrieveInterface,9.2,,
Micro Focus - BtrieveInterface - 9.2,Micro Focus,BtrieveInterface,9.2,,
Micro Focus - BtrieveInterface - 9.2,Micro Focus,BtrieveInterface,9.2,,
Micro Focus - Builder - 3.1,Micro Focus,Builder,3.1,,2008-05-17
Micro Focus - Builder - 4.1,Micro Focus,Builder,4.1,,2010-02-01
Micro Focus - Builder - 41.1,Micro Focus,Builder,41.1,,2010-02-01
Micro Focus - Builder - 0.1,Micro Focus,Builder,0.1,,2006-01-07
Micro Focus - Builder - 0.1,Micro Focus,Builder,0.1,,2006-01-07
Micro Focus - Builder - 0.2.0,Micro Focus,Builder,0.2.0,,2006-01-07
Micro Focus - BusinessContinuityClusteringBCC - 1.21.2,Micro Focus,BusinessContinuityClusteringBCC,1.21.2,2009-02-05,2013-07-31
Micro Focus - BusinessContinuityClusteringBCC - 1.11.1,Micro Focus,BusinessContinuityClusteringBCC,1.11.1,2007-01-12,2010-03-07
Micro Focus - BusinessContinuityClusteringBCC - 1.01.0,Micro Focus,BusinessContinuityClusteringBCC,1.01.0,2004-08-24,2009-08-31
Micro Focus - BusinessContinuityClusteringBCC - 2.02.0,Micro Focus,BusinessContinuityClusteringBCC,2.02.0,2013-07-03,2019-12-31
Micro Focus - BusinessExperienceManager - 4.7,Micro Focus,BusinessExperienceManager,4.7,2010-02-05,2013-02-05
Micro Focus - BusinessExperienceManager - 4.6,Micro Focus,BusinessExperienceManager,4.6,2009-06-30,2011-06-30
Micro Focus - BusinessExperienceManager - 4.5,Micro Focus,BusinessExperienceManager,4.5,2008-02-08,2010-06-30
Micro Focus - BusinessExperienceManager - 4.0,Micro Focus,BusinessExperienceManager,4.0,2006-09-17,2009-08-08
Micro Focus - BusinessProcessMonitor5x - 9.5,Micro Focus,BusinessProcessMonitor5x,9.5,2018-05-29,2023-12-31
Micro Focus - BusinessProcessMonitor4x - 9.4,Micro Focus,BusinessProcessMonitor4x,9.4,2017-08-17,2021-08-31
Micro Focus - BusinessProcessMonitor3x - 9.3,Micro Focus,BusinessProcessMonitor3x,9.3,2016-07-28,2020-08-31
Micro Focus - BusinessProcessTesting5x - 11.5,Micro Focus,BusinessProcessTesting5x,11.5,2013-05-28,2017-05-31
Micro Focus - BusinessProcessTesting0x - 11.0,Micro Focus,BusinessProcessTesting0x,11.0,2011-01-25,2015-01-31
Micro Focus - BusinessServiceLevelManager - 4.7,Micro Focus,BusinessServiceLevelManager,4.7,2010-02-05,2013-02-05
Micro Focus - BusinessServiceLevelManager - 4.6,Micro Focus,BusinessServiceLevelManager,4.6,2009-06-30,2011-06-30
Micro Focus - BusinessServiceLevelManager - 4.5,Micro Focus,BusinessServiceLevelManager,4.5,2008-02-08,2010-06-30
Micro Focus - BusinessServiceLevelManager - 4.0,Micro Focus,BusinessServiceLevelManager,4.0,2006-09-17,2009-08-08
Micro Focus - BusinessServiceManager - 4.7,Micro Focus,BusinessServiceManager,4.7,2010-02-05,2013-02-05
Micro Focus - BusinessServiceManager - 4.6,Micro Focus,BusinessServiceManager,4.6,2009-06-30,2011-06-30
Micro Focus - BusinessServiceManager - 4.5,Micro Focus,BusinessServiceManager,4.5,2008-02-08,2010-06-30
Micro Focus - BusinessServiceManager - 4.0,Micro Focus,BusinessServiceManager,4.0,2006-09-17,2009-08-08
Micro Focus - CISAMInterface - 10.4.0,Micro Focus,CISAMInterface,10.4.0,2021-04-29,
Micro Focus - CISAMInterface - 10.3,Micro Focus,CISAMInterface,10.3,2020-06-30,2021-11-30
Micro Focus - CISAMInterface - 10.3,Micro Focus,CISAMInterface,10.3,2019-11-27,2021-04-30
Micro Focus - CISAMInterface - 10.0,Micro Focus,CISAMInterface,10.0,,
Micro Focus - CISAMInterface - 10.0,Micro Focus,CISAMInterface,10.0,,
Micro Focus - CISAMInterface - 10.1,Micro Focus,CISAMInterface,10.1,,
Micro Focus - CISAMInterface - 10.1,Micro Focus,CISAMInterface,10.1,,
Micro Focus - CISAMInterface - 10.2,Micro Focus,CISAMInterface,10.2,,
Micro Focus - CISAMInterface - 10.2,Micro Focus,CISAMInterface,10.2,,
Micro Focus - CISAMInterface - 7.0,Micro Focus,CISAMInterface,7.0,,2010-12-31
Micro Focus - CISAMInterface - 7.2,Micro Focus,CISAMInterface,7.2,,2010-12-31
Micro Focus - CISAMInterface - 9.0,Micro Focus,CISAMInterface,9.0,,
Micro Focus - CISAMInterface - 9.0,Micro Focus,CISAMInterface,9.0,,
Micro Focus - CISAMInterface - 9.1,Micro Focus,CISAMInterface,9.1,,
Micro Focus - CISAMInterface - 9.1,Micro Focus,CISAMInterface,9.1,,
Micro Focus - CISAMInterface - 9.1,Micro Focus,CISAMInterface,9.1,,
Micro Focus - CISAMInterface - 9.12.1,Micro Focus,CISAMInterface,9.12.1,,
Micro Focus - CISAMInterface - 9.2,Micro Focus,CISAMInterface,9.2,,
Micro Focus - CISAMInterface - 9.2,Micro Focus,CISAMInterface,9.2,,
Micro Focus - CISAMInterface - 9.2,Micro Focus,CISAMInterface,9.2,,
Micro Focus - CISAMInterface - 9.2,Micro Focus,CISAMInterface,9.2,,
Micro Focus - CISAMInterface - 9.2,Micro Focus,CISAMInterface,9.2,,
Micro Focus - CaliberAnalystR2 - 2006,Micro Focus,CaliberAnalystR2,2006,,2014-01-01
Micro Focus - CaliberAnalyst - 2006,Micro Focus,CaliberAnalyst,2006,,2014-01-01
Micro Focus - CaliberAnalyst - 2008,Micro Focus,CaliberAnalyst,2008,,2014-01-01
Micro Focus - CaliberDefineITR2 - 2008,Micro Focus,CaliberDefineITR2,2008,,2014-01-01
Micro Focus - CaliberDefineITSP1 - 2008,Micro Focus,CaliberDefineITSP1,2008,,2014-01-01
Micro Focus - CaliberDefineIT - 2008,Micro Focus,CaliberDefineIT,2008,,2014-01-01
Micro Focus - CaliberRDMUpdate - 10.1,Micro Focus,CaliberRDMUpdate,10.1,2012-07-06,2015-07-31
Micro Focus - CaliberRDM - 10.1,Micro Focus,CaliberRDM,10.1,2012-02-17,2015-07-31
Micro Focus - CaliberRMUpdate - 10.1,Micro Focus,CaliberRMUpdate,10.1,2012-07-06,2015-07-31
Micro Focus - CaliberRM - 10.1,Micro Focus,CaliberRM,10.1,2012-02-17,2015-07-31
Micro Focus - CaliberRM - 11.5,Micro Focus,CaliberRM,11.5,2016-10-28,2021-12-31
Micro Focus - CaliberRM - 11.4,Micro Focus,CaliberRM,11.4,2014-11-28,2020-12-31
Micro Focus - CaliberRM - 11.3,Micro Focus,CaliberRM,11.3,2014-01-24,2020-12-31
Micro Focus - CaliberRM - 11.2,Micro Focus,CaliberRM,11.2,2013-09-20,2020-12-31
Micro Focus - CaliberRM - 11.1,Micro Focus,CaliberRM,11.1,2013-06-24,2020-12-31
Micro Focus - CaliberRM - 11.0,Micro Focus,CaliberRM,11.0,2012-09-28,2017-01-31
Micro Focus - CaliberRMR2 - 2005,Micro Focus,CaliberRMR2,2005,,2008-09-15
Micro Focus - CaliberRM - 2005,Micro Focus,CaliberRM,2005,,2007-06-30
Micro Focus - CaliberRMR2 - 2006,Micro Focus,CaliberRMR2,2006,,2010-07-30
Micro Focus - CaliberRM - 2006,Micro Focus,CaliberRM,2006,,2010-06-30
Micro Focus - CaliberRM - 2008,Micro Focus,CaliberRM,2008,,2010-12-31
