productName,productFullId,productId
"AAI versions 1, 2, 4, 5",row337,337
Access Governance 7,row341,341
Access Manager 2.3.0,row6314,6314
Access Manager 5,row224,224
AccuRev 5,row356,356
AccuRev 6,row359,359
AccuRev 7,row369,369
AccuRev LDAP Integration 2017 Update 1,row375,375
AccuSync 2018,row387,387
AccuSync 2019,row388,388
Acu4GL for DB2,row390,390
Acu4GL for Informix,row6487,6487
Acu4GL for MS SQL,row6488,6488
Acu4GL for ODBC,row6489,6489
Acu4GL for Oracle,row6491,6491
Acu4GL for Sybase,row6492,6492
AcuBench,row648,648
ACUCOBOL-GT Development System,row703,703
ACUCOBOL-GT Runtime,row786,786
ACUCOBOL-GT Runtime (CGI),row759,759
AcuConnect - Distributed Processing,row868,868
AcuConnect - Thin Client,row907,907
AcuServer,row956,956
AcuSQL Precompiler,row1006,1006
AcuSQL Runtime,row1057,1057
AcuToWeb,row1106,1106
AcuXDBC,row1111,1111
AcuXDBC Enterprise Edition,row1139,1139
AcuXDBC Server,row1167,1167
AD Bridge 1,row1195,1195
AD Bridge 2,row6376,6376
Advanced Authentication Connector for z/OS 1 1.0,row1233,1233
Advanced Authentication Framework 4.10,row1234,1234
Aegis 2,row1238,1238
Aegis 3,row1243,1243
Agile Manager 2,row1256,1256
ALM Dashboard 1 0,row1267,1267
ALM Dashboard 2,row1268,1268
ALM Dashboard 4,row1271,1271
ALM Octane 12,row6497,6497
ALM Octane 15,row6496,6496
ALM Solutions Connector 5,row1274,1274
ALM Solutions Connector 6,row1284,1284
ALM Solutions Connector 6 2,row6281,6281
Alternate Terminal Manager Runtime 10,row1291,1291
Alternate Terminal Manager Runtime 9,row1298,1298
Analyzer Express,row6895,6895
Analyzer Express for Visual Studio 2010 2010 R1,row1314,1314
Application Analyzer,row1319,1319
Application Development Management 2008 R2,row1326,1326
Application Development Management on Demand 2008 R2,row1327,1327
Application Lifecycle Management,row1339,1339
Application Lifecycle Management SaaS,row6959,6959
Application Server 2,row1347,1347
Application Server 3,row1351,1351
Application Server for Net Express 3,row1402,1402
Application Server for Net Express 4.0 00,row1410,1410
Application Server for OCDS,row1355,1355
Application Server for Server Express,row6721,6721
AppManager Analysis Center 2,row1411,1411
AppManager Analysis Center 3,row1413,1413
AppManager Suite 8,row1422,1422
AppManager Suite 9,row1423,1423
AppManager Unix Agent 7,row1424,1424
AppManager Unix Agent 8,row1426,1426
APS for MVS 3,row1430,1430
APS for MVS 4,row1433,1433
APS for MVS 5.0 00,row1436,1436
ArcSight Compliance Packs v1.0,row7493,7493
ArcSight Enterprise Security Manager Compliance Package,row6576,6576
ArcSight Logger Compliance Package,row6577,6577
ArcSight Management Center 3,row7492,7492
ArcSight Smart Connectors 8,row7017,7017
Artix 4.2,row1563,1563
Artix 5,row1564,1564
Asset Manager 4 5,row1572,1572
Asset Manager 5,row1573,1573
Atlas 2,row1598,1598
Atlas 3,row1604,1604
Atlas 4,row1608,1608
Atlas 5,row1613,1613
Atlas 6.0 0,row1616,1616
Attachmate TCP/IP Socket Server 2,row1617,1617
BES AppServer Edition 5,row1641,1641
BES AppServer Edition 6,row1644,1644
BES VisiBroker Edition,row1647,1647
Boomerang 4.0 0,row1654,1654
Boomerang 8,row1655,1655
Borland Application Server 6,row1661,1661
Btrieve Interface,row1681,1681
Builder 6,row1694,1694
Builder 8,row1698,1698
Business Experience Manager 4,row1718,1718
Business Process Testing 11,row1736,1736
Business Service Level Manager 4,row1741,1741
Business Service Manager 4,row1750,1750
C-ISAM Interface,row1870,1870
Center Management for Quality Center 9,row1793,1793
Change Guardian 6,row7014,7014
ChangeMan DS 12,row1807,1807
ChangeMan DS 2009,row1810,1810
ChangeMan DS 5,row1813,1813
ChangeMan ECP 2010 R1,row1822,1822
ChangeMan ECP 3,row1823,1823
ChangeMan M+R 4 1.0,row1827,1827
ChangeMan SSM 2008 R1,row1828,1828
ChangeMan SSM 7,row1829,1829
ChangeMan SSM 8,row1834,1834
ChangeMan ZMF 8 1,row1848,1848
ChangeMan ZMF 8 2,row1857,1857
ChangeMan ZMF Client Pack 8 1,row1859,1859
ChangeMan ZMF Client Pack 8 2,row1867,1867
Cloud Manager 1,row1911,1911
Cloud Manager 2,row1912,1912
CloudAccess 2,row1939,1939
CloudAccess 3,row1944,1944
COBOL 2010 Runtime 2010,row1956,1956
COBOL Analyzer,row6873,6873
COBOL Server 2,row1968,1968
COBOL Server 3.0,row1973,1973
COBOL Server 4.0,row1974,1974
COBOL Server 5.0,row1975,1975
COBOL Server 6.0,row6883,6883
Comparex 8.8,row2001,2001
Configuration Builder 5,row2012,2012
Configuration Builder 7,row2016,2016
Connect 1,row2025,2025
Connect 3,row2030,2030
Connect 4,row2034,2034
Connected Backup 8,row2037,2037
Connected Backup 9,row2046,2046
Connected Backup Agents 8,row2048,2048
Console Mode Runtime,row2071,2071
Content Analytics 1.7x,row2086,2086
Content Manager 10,row7372,7372
Content Manager 9,row2088,2088
ControlPoint 4,row2100,2100
ControlPoint 5,row2104,2104
"CORBA Add-on for Cloud, Containers and Virtual Environments",row6817,6817
CORBA Add-on for REST,row6856,6856
Data Express 3,row2129,2129
Data Express 4.0,row2134,2134
Database Connector for DB2 2,row2180,2180
Database Connector for Microsoft SQL Server 2.2 Update 2,row2183,2183
Database Connector for Oracle 2.2 Update 2,row2184,2184
Database Connectors 2.1 0,row2185,2185
Databridge 6,row2190,2190
Dedicated Master Runtime,row2204,2204
Demand Manager 4 0,row2208,2208
Deployment Automation 5,row2209,2209
Deployment Automation 6,row2214,2214
Development Manager 1,row2227,2227
Development Manager 3 5,row2231,2231
Development Manager 4,row2232,2232
Development Process Management 2008 R2,row2236,2236
Development Process Management 2009 R1,row2237,2237
DevPartner BoundsChecker 11,row2239,2239
DevPartner BoundsChecker 12.0,row230,230
DevPartner CoverageChecker 11,row2243,2243
DevPartner for Visual C++ BoundsChecker Suite 10,row2255,2255
DevPartner for Visual C++ BoundsChecker Suite 11,row2260,2260
DevPartner MemoryChecker 11,row2854,2854
DevPartner PerformanceChecker 11,row2858,2858
DevPartner Studio Professional Edition 10,row2869,2869
DevPartner Studio Professional Edition 11,row2874,2874
DevPartner SystemChecker 11,row2881,2881
Dimensions CM 10,row2888,2888
Dimensions CM 12,row2896,2896
Dimensions CM 14,row2902,2902
Dimensions CM 2009,row2919,2919
Dimensions CM 5,row2932,2932
Dimensions CM 6,row2938,2938
Dimensions CM 7,row2944,2944
Dimensions CM 8,row2950,2950
Dimensions CM 9,row2964,2964
Dimensions CM Replicator 10 1.1,row2969,2969
Dimensions Docker Registry 14,row2970,2970
Dimensions GIT Connector 14,row2973,2973
Dimensions Replicator 10,row2976,2976
Dimensions Replicator 7 1.01,row2979,2979
